date,description,amount,transaction_type
2023-01-01,McDonald's,-1226.41,debit
2023-01-05,Starbucks Coffee,-149.41,debit
2023-01-05,Flipkart Order,-3268.85,debit
2023-01-06,Walmart Grocery,-300.24,debit
2023-01-07,Internet Bill,-3181.06,debit
2023-01-10,Society Dues,-29656.84,debit
2023-01-12,Uber Eats,-459.05,debit
2023-01-12,Apollo Pharmacy,-10070.39,debit
2023-01-14,Cab Service,-215.1,debit
2023-01-18,Bus Pass Renewal,-205.86,debit
2023-01-18,Cafe Coffee Day,-532.17,debit
2023-01-18,Internet Bill,-8404.43,debit
2023-01-19,Interest Credit,850.55,credit
2023-01-19,Myntra Shopping,-2121.32,debit
2023-01-21,Flipkart Order,-1380.54,debit
2023-01-22,Zara Store,-2341.01,debit
2023-01-22,Pizza Hut,-97.56,debit
2023-01-22,Reliance Fresh,-356.11,debit
2023-01-23,Flipkart Order,-329.23,debit
2023-01-23,Adidas Store,-312.41,debit
2023-01-24,Swiggy Order,-257.43,debit
2023-01-25,Contract Payment,31350.78,credit
2023-01-26,BigBazaar Grocery,-337.55,debit
2023-01-27,Fashion Store,-318.29,debit
2023-01-28,Contract Payment,100409.74,credit
2023-01-28,Broadband Renewal,-1496.34,debit
2023-01-28,Society Dues,-27143.51,debit
2023-01-30,Business Income,106830.33,credit
2023-01-30,Service Fee,-26908.73,debit
2023-02-02,Broadband Renewal,-3864.44,debit
2023-02-03,Amazon Purchase,-1448.12,debit
2023-02-03,KFC Outlet,-837.23,debit
2023-02-04,KFC Outlet,-558.09,debit
2023-02-04,Investment Return,16051.5,credit
2023-02-05,Apollo Pharmacy,-2085.09,debit
2023-02-10,Walmart Grocery,-745.88,debit
2023-02-11,Restaurant Dining,-252.27,debit
2023-02-11,DMart Supermarket,-492.08,debit
2023-02-11,General Purchase,-4591.26,debit
2023-02-12,Electricity Bill,-1289.31,debit
2023-02-12,Pizza Hut,-399.79,debit
2023-02-14,Zara Store,-971.65,debit
2023-02-14,Internet Bill,-1398.8,debit
2023-02-15,Nike Outlet,-2178.25,debit
2023-02-17,Uber Ride,-463.47,debit
2023-02-18,Adobe Creative Cloud,-119.0,debit
2023-02-19,Consulting Fee,7701.71,credit
2023-02-20,Myntra Shopping,-949.46,debit
2023-02-20,Auto Rickshaw,-351.58,debit
2023-02-21,Referral Bonus,577.81,credit
2023-02-22,Adidas Store,-839.13,debit
2023-02-22,Apple iCloud Storage,-119.0,debit
2023-02-25,Cashback Credit,166.95,credit
2023-02-26,H&M Purchase,-579.13,debit
2023-02-26,Utilities Payment,-3507.76,debit
2023-02-27,McDonald's,-810.02,debit
2023-03-02,Decathlon Purchase,-461.13,debit
2023-03-03,Refund - Merchant,4186.17,credit
2023-03-04,Zara Store,-426.96,debit
2023-03-05,BigBazaar Grocery,-352.14,debit
2023-03-09,Domino's,-1911.25,debit
2023-03-11,McDonald's,-160.43,debit
2023-03-12,McDonald's,-425.25,debit
2023-03-14,Cab Service,-272.14,debit
2023-03-14,Gas Bill,-2329.76,debit
2023-03-14,Spencer's Retail,-373.24,debit
2023-03-14,Cafe Coffee Day,-617.28,debit
2023-03-15,Reliance Fresh,-517.88,debit
2023-03-20,Nike Outlet,-2969.74,debit
2023-03-21,Internet Bill,-1726.76,debit
2023-03-21,Service Fee,-6496.2,debit
2023-03-21,Coursera Subscription,-3461.01,debit
2023-03-22,Home Insurance,-4136.68,debit
2023-03-22,Metro Card Recharge,-378.02,debit
2023-03-22,Fashion Store,-1805.87,debit
2023-03-23,Bakery Purchase,-197.95,debit
2023-03-25,Bonus Credit,5765.75,credit
2023-03-25,Water Bill,-2836.32,debit
2023-03-25,Restaurant Dining,-1574.65,debit
2023-03-26,Service Fee,-15802.22,debit
2023-03-27,Pizza Hut,-1213.5,debit
2023-03-27,Cafe Coffee Day,-1524.2,debit
2023-03-27,Fashion Store,-340.0,debit
2023-03-27,Cashback Credit,1052.1,credit
2023-03-28,Adidas Store,-315.97,debit
2023-03-28,McDonald's,-1904.94,debit
2023-04-01,Fashion Store,-3781.59,debit
2023-04-02,Gym Membership,-995.88,debit
2023-04-07,More Supermarket,-350.59,debit
2023-04-07,Fashion Store,-2173.56,debit
2023-04-08,Coursera Subscription,-2037.22,debit
2023-04-10,Myntra Shopping,-5646.09,debit
2023-04-13,Service Fee,-9422.09,debit
2023-04-15,McDonald's,-1026.78,debit
2023-04-15,Pizza Hut,-1988.18,debit
2023-04-15,Water Bill,-7091.56,debit
2023-04-15,Reliance Fresh,-543.75,debit
2023-04-18,General Purchase,-11601.02,debit
2023-04-19,Bakery Purchase,-1968.62,debit
2023-04-19,Bakery Purchase,-909.64,debit
2023-04-21,Ajio Online Store,-854.0,debit
2023-04-22,Reliance Fresh,-1984.13,debit
2023-04-22,Myntra Shopping,-1177.01,debit
2023-04-26,BESCOM Bill,-3813.87,debit
2023-04-26,Mobile Recharge,-1393.4,debit
2023-04-27,Uber Eats,-173.17,debit
2023-04-27,H&M Purchase,-4002.6,debit
2023-04-28,DMart Supermarket,-793.28,debit
2023-04-28,Dentist Visit,-1327.85,debit
2023-05-01,Domino's,-1254.18,debit
2023-05-02,Fresh Market,-461.75,debit
2023-05-03,Pizza Hut,-273.78,debit
2023-05-03,Business Income,24536.73,credit
2023-05-04,Gym Membership,-3039.37,debit
2023-05-05,Starbucks Coffee,-880.55,debit
2023-05-06,Coursera Subscription,-2113.64,debit
2023-05-08,Local Restaurant,-371.73,debit
2023-05-09,Mobile Recharge,-2815.53,debit
2023-05-10,Decathlon Purchase,-3288.94,debit
2023-05-13,More Supermarket,-443.5,debit
2023-05-16,Bus Pass Renewal,-218.06,debit
2023-05-16,Contract Payment,22530.16,credit
2023-05-18,Grocery Store,-640.49,debit
2023-05-21,Dividend Credit,2683.05,credit
2023-05-22,Nike Outlet,-570.39,debit
2023-05-22,Parking Fee,-773.16,debit
2023-05-24,Investment Return,94561.89,credit
2023-05-24,Doctor Consultation,-2908.5,debit
2023-05-25,Gas Bill,-2266.71,debit
2023-05-25,Decathlon Purchase,-1389.85,debit
2023-05-25,Doctor Consultation,-1020.3,debit
2023-05-26,Mall Shopping,-5016.55,debit
2023-05-26,Cashback Credit,2644.61,credit
2023-05-27,Cashback Credit,953.46,credit
2023-05-28,Domino's,-468.28,debit
2023-05-28,Mall Shopping,-850.49,debit
2023-05-29,McDonald's,-970.26,debit
2023-05-30,Gym Membership,-17989.04,debit
2023-05-31,General Purchase,-23129.97,debit
2023-06-01,Bank Charges,-2381.26,debit
2023-06-03,Parking Fee,-445.51,debit
2023-06-05,Maintenance Charge,-2548.5,debit
2023-06-08,Restaurant Dining,-334.71,debit
2023-06-10,Diagnostic Lab Test,-4932.26,debit
2023-06-11,Internet Bill,-1481.99,debit
2023-06-12,Toll Payment,-256.52,debit
2023-06-15,Coursera Subscription,-2282.02,debit
2023-06-16,Shell Petrol Pump,-212.68,debit
2023-06-17,Grocery Store,-1119.15,debit
2023-06-17,LinkedIn Learning,-2490.82,debit
2023-06-18,Amazon Purchase,-940.82,debit
2023-06-19,Cafe Coffee Day,-1363.36,debit
2023-06-19,Monthly Payroll,24904.86,credit
2023-06-20,Bank Charges,-4638.13,debit
2023-06-20,Referral Bonus,280.61,credit
2023-06-21,Refund - Merchant,1019.2,credit
2023-06-22,Bakery Purchase,-900.75,debit
2023-06-23,Property Tax,-3205.21,debit
2023-06-26,Ola Cab,-314.61,debit
2023-06-26,Starbucks Coffee,-221.91,debit
2023-06-27,Spencer's Retail,-1828.44,debit
2023-06-29,Utilities Payment,-993.04,debit
2023-06-29,Direct Deposit - Employer,19856.38,credit
2023-07-01,Metro Card Recharge,-251.76,debit
2023-07-02,House Rent,-7658.73,debit
2023-07-03,Uber Eats,-1214.93,debit
2023-07-03,Uber Eats,-1071.39,debit
2023-07-04,Home Insurance,-28069.03,debit
2023-07-04,Doctor Consultation,-1007.52,debit
2023-07-05,KFC Outlet,-812.67,debit
2023-07-05,Bakery Purchase,-447.72,debit
2023-07-07,Book Purchase,-3652.72,debit
2023-07-08,Spotify Premium,-119.0,debit
2023-07-09,Home Insurance,-3971.43,debit
2023-07-12,Other Payment,-10083.72,debit
2023-07-16,Mall Shopping,-504.22,debit
2023-07-17,Shell Petrol Pump,-230.56,debit
2023-07-21,Maintenance Charge,-2933.04,debit
2023-07-22,Electricity Bill,-2389.59,debit
2023-07-24,Mall Shopping,-884.57,debit
2023-07-27,Gas Bill,-1314.65,debit
2023-07-27,KFC Outlet,-599.41,debit
2023-07-27,Netflix Subscription,-119.0,debit
2023-07-29,Toll Payment,-210.44,debit
2023-08-01,Fresh Market,-1901.68,debit
2023-08-01,Amazon Purchase,-568.05,debit
2023-08-03,Swiggy Order,-211.13,debit
2023-08-03,Medplus Medical Store,-5630.84,debit
2023-08-06,Gas Bill,-1392.21,debit
2023-08-06,Local Restaurant,-225.03,debit
2023-08-08,More Supermarket,-603.04,debit
2023-08-09,Ajio Online Store,-1214.91,debit
2023-08-09,More Supermarket,-558.73,debit
2023-08-12,Monthly Payroll,106647.58,credit
2023-08-13,Zara Store,-3666.36,debit
2023-08-13,Amazon Purchase,-508.09,debit
2023-08-14,Home Insurance,-10842.74,debit
2023-08-15,Amazon Prime Renewal,-119.0,debit
2023-08-16,Decathlon Purchase,-1500.82,debit
2023-08-17,BESCOM Bill,-8912.25,debit
2023-08-17,Apollo Pharmacy,-1945.13,debit
2023-08-19,Water Bill,-17233.39,debit
2023-08-19,Direct Deposit - Employer,7373.42,credit
2023-08-21,Grocery Store,-376.02,debit
2023-08-23,Referral Bonus,113.18,credit
2023-08-26,Maintenance Charge,-2758.78,debit
2023-08-27,Parking Fee,-456.62,debit
2023-08-27,DMart Supermarket,-842.65,debit
2023-08-29,Online Learning Platform,-2372.2,debit
2023-08-29,BigBazaar Grocery,-592.2,debit
2023-08-30,Dividend Credit,169.8,credit
2023-08-31,Municipal Tax,-2697.76,debit
2023-09-02,Investment Return,65138.92,credit
2023-09-05,BESCOM Bill,-7432.88,debit
2023-09-06,Fashion Store,-677.24,debit
2023-09-08,Doctor Consultation,-4099.09,debit
2023-09-10,Interest Credit,3958.27,credit
2023-09-12,Contract Payment,39107.32,credit
2023-09-13,Toll Payment,-399.78,debit
2023-09-17,Domino's,-464.13,debit
2023-09-18,Bank Charges,-17997.39,debit
2023-09-18,Gas Bill,-4663.61,debit
2023-09-20,McDonald's,-282.06,debit
2023-09-21,Ola Cab,-749.04,debit
2023-09-21,Salary Credit,43661.64,credit
2023-09-21,Nike Outlet,-599.48,debit
2023-09-23,Miscellaneous Expense,-23944.65,debit
2023-09-28,Reliance Fresh,-817.67,debit
2023-09-29,Parking Fee,-151.4,debit
2023-10-01,Reliance Fresh,-558.21,debit
2023-10-05,Swiggy Order,-212.77,debit
2023-10-05,Restaurant Dining,-693.18,debit
2023-10-09,Mall Shopping,-354.01,debit
2023-10-09,Cashback Credit,715.94,credit
2023-10-09,Gas Bill,-2481.7,debit
2023-10-11,Home Insurance,-19980.38,debit
2023-10-13,Salary Credit,20771.39,credit
2023-10-13,Bonus Credit,75047.78,credit
2023-10-13,Restaurant Dining,-313.98,debit
2023-10-14,Contract Payment,6167.32,credit
2023-10-14,More Supermarket,-881.81,debit
2023-10-15,Broadband Renewal,-3521.68,debit
2023-10-17,Best Buy,-714.79,debit
2023-10-17,Mall Shopping,-6870.14,debit
2023-10-18,DMart Supermarket,-535.68,debit
2023-10-19,Bus Pass Renewal,-203.31,debit
2023-10-20,Decathlon Purchase,-2652.51,debit
2023-10-23,Zara Store,-360.53,debit
2023-10-23,Zara Store,-544.09,debit
2023-10-25,Decathlon Purchase,-6694.28,debit
2023-10-25,Internet Bill,-2067.45,debit
2023-10-26,Cab Service,-696.52,debit
2023-10-28,Interest Credit,880.88,credit
2023-10-28,BigBazaar Grocery,-1548.0,debit
2023-10-29,Nike Outlet,-3999.71,debit
2023-10-30,Monthly Payroll,6308.26,credit
2023-10-30,BESCOM Bill,-6922.03,debit
2023-10-31,Utilities Payment,-1946.48,debit
2023-10-31,Water Bill,-1773.42,debit
2023-11-01,Uber Ride,-121.32,debit
2023-11-02,Bus Pass Renewal,-404.07,debit
2023-11-03,Business Income,14462.05,credit
2023-11-04,Society Dues,-5269.97,debit
2023-11-05,Dividend Credit,4382.85,credit
2023-11-05,Starbucks Coffee,-887.47,debit
2023-11-07,Dividend Credit,1132.56,credit
2023-11-07,Monthly Payroll,20247.02,credit
2023-11-08,Ajio Online Store,-4351.98,debit
2023-11-09,Mobile Recharge,-1221.5,debit
2023-11-09,Adobe Creative Cloud,-119.0,debit
2023-11-10,Nike Outlet,-1283.44,debit
2023-11-10,More Supermarket,-364.77,debit
2023-11-13,BigBazaar Grocery,-1196.32,debit
2023-11-13,Disney+ Hotstar,-119.0,debit
2023-11-14,Gym Membership,-1036.76,debit
2023-11-16,Toll Payment,-395.89,debit
2023-11-16,Decathlon Purchase,-1303.6,debit
2023-11-19,Dentist Visit,-3944.84,debit
2023-11-21,Bakery Purchase,-631.7,debit
2023-11-22,Refund - Merchant,2087.27,credit
2023-11-23,Metro Card Recharge,-205.37,debit
2023-11-23,Bank Charges,-5870.22,debit
2023-11-24,H&M Purchase,-1168.97,debit
2023-11-25,Hospital Bill,-3417.29,debit
2023-11-25,LinkedIn Learning,-2747.53,debit
2023-11-27,Nike Outlet,-1471.29,debit
2023-11-27,Salary Credit,17348.08,credit
2023-11-28,Auto Rickshaw,-114.88,debit
2023-11-30,Contract Payment,13534.63,credit
2023-12-02,Swiggy Order,-385.7,debit
2023-12-03,Zara Store,-2376.8,debit
2023-12-03,Bank Charges,-19139.76,debit
2023-12-03,KFC Outlet,-642.36,debit
2023-12-04,H&M Purchase,-18761.96,debit
2023-12-04,Amazon Purchase,-436.38,debit
2023-12-05,Apollo Pharmacy,-929.08,debit
2023-12-06,DMart Supermarket,-785.59,debit
2023-12-07,Mobile Recharge,-1089.67,debit
2023-12-08,Salary Credit,10807.21,credit
2023-12-11,Fashion Store,-2396.15,debit
2023-12-12,Myntra Shopping,-6592.39,debit
2023-12-13,Amazon Purchase,-2477.61,debit
2023-12-13,Diagnostic Lab Test,-2307.19,debit
2023-12-15,Grocery Store,-1305.88,debit
2023-12-15,Coursera Subscription,-2554.97,debit
2023-12-16,Refund - Merchant,947.38,credit
2023-12-16,Dentist Visit,-3758.3,debit
2023-12-17,Dividend Credit,581.05,credit
2023-12-18,H&M Purchase,-311.84,debit
2023-12-18,Best Buy,-362.51,debit
2023-12-19,Domino's,-809.16,debit
2023-12-20,Medplus Medical Store,-954.47,debit
2023-12-20,Amazon Prime Renewal,-119.0,debit
2023-12-22,Pizza Hut,-295.09,debit
2023-12-22,Spencer's Retail,-1251.03,debit
2023-12-25,Water Bill,-2534.48,debit
2023-12-27,Starbucks Coffee,-787.79,debit
2023-12-28,Parking Fee,-237.18,debit
2023-12-29,Ajio Online Store,-772.1,debit
2023-12-29,Society Dues,-13544.83,debit
2023-12-29,Other Payment,-2501.68,debit
2023-12-30,Fresh Market,-472.87,debit
2023-12-30,Starbucks Coffee,-635.57,debit
2023-12-31,Ajio Online Store,-1767.98,debit
2024-01-03,Nike Outlet,-626.54,debit
2024-01-04,Apollo Pharmacy,-1762.57,debit
2024-01-04,Flipkart Order,-386.66,debit
2024-01-05,Myntra Shopping,-599.12,debit
2024-01-06,Direct Deposit - Employer,43282.77,credit
2024-01-07,Ajio Online Store,-821.21,debit
2024-01-07,Contract Payment,30494.15,credit
2024-01-07,Zara Store,-841.05,debit
2024-01-08,Best Buy,-876.83,debit
2024-01-09,Restaurant Dining,-556.35,debit
2024-01-10,Adidas Store,-404.24,debit
2024-01-10,Monthly Payroll,8548.22,credit
2024-01-13,Freelance Payment Received,11043.8,credit
2024-01-15,Gym Membership,-4565.4,debit
2024-01-16,Domino's,-394.4,debit
2024-01-16,Parking Fee,-228.19,debit
2024-01-17,More Supermarket,-962.87,debit
2024-01-17,Apartment Rent Payment,-2430.02,debit
2024-01-17,Adidas Store,-544.08,debit
2024-01-18,Myntra Shopping,-3469.04,debit
2024-01-21,Society Dues,-2505.83,debit
2024-01-23,McDonald's,-216.5,debit
2024-01-23,Broadband Renewal,-996.33,debit
2024-01-23,Restaurant Dining,-1950.63,debit
2024-01-24,Internet Bill,-14604.11,debit
2024-01-24,Dentist Visit,-1133.56,debit
2024-01-25,Shell Petrol Pump,-170.35,debit
2024-01-26,General Purchase,-12630.82,debit
2024-01-27,YouTube Premium,-119.0,debit
2024-01-27,Water Bill,-2069.78,debit
2024-01-27,Best Buy,-433.29,debit
2024-01-31,Fresh Market,-377.88,debit
2024-01-31,More Supermarket,-1149.89,debit
2024-02-01,Grocery Store,-505.11,debit
2024-02-01,Mobile Recharge,-1994.19,debit
2024-02-03,Decathlon Purchase,-3651.24,debit
2024-02-04,Consulting Fee,69563.24,credit
2024-02-05,Auto Rickshaw,-491.66,debit
2024-02-05,Fresh Market,-549.31,debit
2024-02-06,Monthly Payroll,7360.57,credit
2024-02-10,House Rent,-7255.1,debit
2024-02-10,Interest Credit,959.92,credit
2024-02-11,Society Dues,-4559.74,debit
2024-02-13,Zara Store,-355.61,debit
2024-02-13,Pizza Hut,-510.72,debit
2024-02-14,H&M Purchase,-1602.77,debit
2024-02-15,Online Learning Platform,-2733.11,debit
2024-02-15,Refund - Amazon,582.45,credit
2024-02-16,Book Purchase,-2853.06,debit
2024-02-16,Consulting Fee,77516.56,credit
2024-02-18,Decathlon Purchase,-4309.04,debit
2024-02-19,Refund - Merchant,757.44,credit
2024-02-19,H&M Purchase,-1089.59,debit
2024-02-21,Domino's,-298.88,debit
2024-02-21,Bakery Purchase,-131.66,debit
2024-02-26,Spencer's Retail,-882.05,debit
2024-02-26,Cafe Coffee Day,-114.33,debit
2024-02-27,Microsoft 365,-119.0,debit
2024-02-28,Electricity Bill,-15587.57,debit
2024-02-29,Dividend Credit,3354.62,credit
2024-03-03,Costco Purchase,-361.14,debit
2024-03-05,Referral Bonus,753.61,credit
2024-03-05,Fashion Store,-423.02,debit
2024-03-06,Miscellaneous Expense,-22124.78,debit
2024-03-06,House Rent,-8477.45,debit
2024-03-07,BESCOM Bill,-6509.98,debit
2024-03-14,LinkedIn Learning,-3787.66,debit
2024-03-14,Costco Purchase,-551.66,debit
2024-03-16,Best Buy,-697.53,debit
2024-03-16,Pizza Hut,-675.88,debit
2024-03-18,Direct Deposit - Employer,15965.61,credit
2024-03-19,Grocery Store,-1627.32,debit
2024-03-19,Medplus Medical Store,-12539.76,debit
2024-03-20,Pizza Hut,-478.83,debit
2024-03-22,Other Payment,-2338.61,debit
2024-03-23,Health Insurance Premium,-1763.38,debit
2024-03-24,Restaurant Dining,-240.43,debit
2024-03-24,Walmart Grocery,-936.68,debit
2024-03-30,Spencer's Retail,-1153.44,debit
2024-04-01,Adidas Store,-411.95,debit
2024-04-01,Freelance Payment Received,7810.26,credit
2024-04-02,Ola Cab,-341.47,debit
2024-04-02,DMart Supermarket,-1071.83,debit
2024-04-03,Cab Service,-262.51,debit
2024-04-03,Auto Rickshaw,-284.56,debit
2024-04-05,Consulting Fee,9421.15,credit
2024-04-05,Book Purchase,-3492.1,debit
2024-04-06,Medplus Medical Store,-1405.99,debit
2024-04-07,Grocery Store,-749.52,debit
2024-04-08,Ajio Online Store,-2392.88,debit
2024-04-09,Zara Store,-1893.64,debit
2024-04-10,McDonald's,-1473.55,debit
2024-04-11,Parking Fee,-369.91,debit
2024-04-11,Broadband Renewal,-4194.85,debit
2024-04-11,McDonald's,-561.89,debit
2024-04-13,Amazon Purchase,-1234.92,debit
2024-04-13,Refund - Merchant,730.94,credit
2024-04-14,Uber Eats,-604.33,debit
2024-04-16,Dividend Credit,1619.47,credit
2024-04-16,Mobile Recharge,-2917.4,debit
2024-04-17,Fashion Store,-953.62,debit
2024-04-20,Toll Payment,-392.25,debit
2024-04-22,Health Insurance Premium,-1476.77,debit
2024-04-23,Investment Return,85016.93,credit
2024-04-25,Health Insurance Premium,-889.6,debit
2024-04-25,Salary Credit,27836.93,credit
2024-04-30,Domino's,-335.69,debit
2024-05-02,McDonald's,-203.69,debit
2024-05-04,Diagnostic Lab Test,-9535.29,debit
2024-05-04,Electricity Bill,-7328.45,debit
2024-05-05,McDonald's,-619.54,debit
2024-05-11,Metro Card Recharge,-472.04,debit
2024-05-12,Hospital Bill,-1423.94,debit
2024-05-14,Water Bill,-6337.08,debit
2024-05-14,Restaurant Dining,-224.66,debit
2024-05-14,Utilities Payment,-803.55,debit
2024-05-14,Uber Eats,-353.77,debit
2024-05-14,Myntra Shopping,-1973.31,debit
2024-05-17,Costco Purchase,-991.17,debit
2024-05-17,Bakery Purchase,-197.58,debit
2024-05-19,Myntra Shopping,-1443.75,debit
2024-05-20,Water Bill,-850.74,debit
2024-05-21,Freelance Payment Received,25324.9,credit
2024-05-24,Bank Charges,-3741.18,debit
2024-05-25,More Supermarket,-1357.72,debit
2024-05-27,Restaurant Dining,-822.87,debit
2024-05-28,Nike Outlet,-4548.93,debit
2024-05-28,Uber Ride,-529.04,debit
2024-05-28,Bakery Purchase,-1655.09,debit
2024-05-29,H&M Purchase,-764.91,debit
2024-05-31,Bus Pass Renewal,-361.72,debit
2024-06-01,Broadband Renewal,-18616.27,debit
2024-06-04,Local Restaurant,-471.52,debit
2024-06-05,More Supermarket,-1415.18,debit
2024-06-06,Cafe Coffee Day,-220.99,debit
2024-06-06,Cafe Coffee Day,-250.31,debit
2024-06-07,Interest Credit,454.62,credit
2024-06-10,Flipkart Order,-2961.62,debit
2024-06-10,Bakery Purchase,-783.72,debit
2024-06-12,Convenience Store,-10845.14,debit
2024-06-12,Bus Pass Renewal,-603.09,debit
2024-06-14,Cab Service,-229.41,debit
2024-06-16,Local Restaurant,-1987.31,debit
2024-06-16,Internet Bill,-3730.16,debit
2024-06-17,Broadband Renewal,-2839.12,debit
2024-06-17,KFC Outlet,-613.74,debit
2024-06-17,Pizza Hut,-767.28,debit
2024-06-18,Petrol / Fuel,-343.69,debit
2024-06-19,Salary Credit,14872.66,credit
2024-06-21,Udemy Course,-2557.82,debit
2024-06-22,ATM Withdrawal,-6010.69,debit
2024-06-22,Freelance Payment Received,13530.29,credit
2024-06-22,Adidas Store,-6387.73,debit
2024-06-22,Uber Ride,-316.18,debit
2024-06-25,Costco Purchase,-689.55,debit
2024-06-27,Gas Bill,-2534.67,debit
2024-06-27,Reliance Fresh,-730.95,debit
2024-06-30,Flipkart Order,-2169.28,debit
2024-06-30,ATM Withdrawal,-2601.92,debit
2024-07-01,Refund - Amazon,2304.65,credit
2024-07-03,Gym Membership,-4076.13,debit
2024-07-03,Ola Cab,-556.66,debit
2024-07-04,Refund - Merchant,4614.99,credit
2024-07-05,H&M Purchase,-1443.96,debit
2024-07-06,Walmart Grocery,-573.39,debit
2024-07-06,Water Bill,-946.33,debit
2024-07-06,Contract Payment,11716.0,credit
2024-07-07,Ajio Online Store,-16069.47,debit
2024-07-07,Electricity Bill,-6166.22,debit
2024-07-08,Adobe Creative Cloud,-119.0,debit
2024-07-09,Zomato Delivery,-674.79,debit
2024-07-10,Domino's,-505.26,debit
2024-07-10,Grocery Store,-1591.63,debit
2024-07-12,Best Buy,-1057.23,debit
2024-07-13,Consulting Fee,33875.33,credit
